headword,translations
klappertasch,barßkuttis
klarheit,szwiesybe; szwiesummas; skaistummas; skaistybe
klarlich,ißkiey
klattern,lipineti; kopineti
klaube,grywenka; klubas
klaue,nagas
klause,temnicza
kleben,lipti
klebricht,lippus
klee,dobilas
kleiben,lipyti
kleid,rubas; drapanos; drabußis
kleiden,rediti; dengti
kleider tragen,wilketi
kleiderbürst,drapano szepetys
kleiderrolle,koczelas
kleidung,dengalas
klein,mazas; mazesnis; mazausesis
kleine heede,paßukos
kleinmuthig,nuludes
kleinmuthigen,nulusti
kleinmuthigkeit,nuludimas
kleinodt,zemczugaz
kleistern,lipyti
kleistrig,lippus
klette,dagis
kleuel,kamûlys
kleuen,zilenos
klincke,klingis
klingbeutel,maznele; zakelis; kullikelis; topnycze
klingen,skambeti
klopffen,kulti; pliekti
kloster,klostorius
klotz,klucus; kalada
klufft,dûbe
klufftholtz,plauska
klug,ißmintingas
klugheit,ißmintis
kluglich,ißmintingay
klügling,ißmintingas; ißmintinczus
klumpe,grumtas
kluwern,klibineti
knab,waikas
knack,wagis; gembe
knacken,brakßterreti
knap,kupay
knap,skupas; skupesnis; skupiausias
knarren,girzdeti
knaten,minkiti
knebel,brusgullis
knebelbart,usas
knecht,bernas
knechtlich,bernißkas
knechtschafft,bernyste
kneifzange,reples
kneipffen,gnibti; gnaibyti
knie,kelis
knieband,pąkeles; rißtûwos
kniebeugen,klauptisi
knieen,klauptisi
kniekehle,kißka
knirschen,grießti
knoblauch,czesnakas
knochel,krumplys
knochen,kaulas
knocke,gryßte
knopff,gusikas
knopff auff die kirche,agûna
knopffchen am hembd,sprąßczei
knorpel,kremßlys; kramsle; kramslele
knospe gewinnen,megsti
knospen,mazgas
knotchen,mejgelei
knote,mazgas
knotlein am helm,kelis
knupfen,megsti
knüttel,strampas; brangtas; strippinas
koch,kukorus
kochen,wirti
köcher,seidokas
kochfett,uzdaralas
kochin,kukarka
kochloffel,samtis
kohl,lapiene
kohle,anglis; zarija
kohlscharren,grießti
kohlschwarz,jûdas
kolbe,czupryna
koller,kulnierus
kollstern,kwenkßti
kommen,ateiti
kompft,kupustas
könig,karalus
königin,karalene
königlich,karalißkas
königreich,karalysta
königsberg,karalauczus
königsberger,karalauczonis
königscher,karalißkis
können,moketi; galleti
kopff,galwa
kopffen,nukirtsti
kopfigt,galwûtas
korb,kurbas; lißtas; pintinne
korn,grudas; diegas
korn,ruggei
kornaugst,rugpjute
kornbluhm,wosilka
kornboden,aukßtas
körnen,lessinti; willoti
kornschreiber,jawinnis
kost,strowa; wirralas
kostbahr,brangus
kosten,kastûti
kosten,ragauti
kostlich,kaßtaunas
koth,purwas
kothigt,purwinnas
krachen,braßkejimas
krachen,braßketi
krafft,macis; syla
krafftig,macnus; sylingas
krafftloß,besylis
krafftmehl,skorbylas
kragen,kobotas
krahbe,warna
krähen,giedoti
krahlen,wograuti
kram,kromas
kramer,kromininkas
kramkümmel,kromnei kniwai
krampff,kenge
krampff,meßlunkis
kranck,sergas
kranck werden,apsirgti
krancken,sirgti
kräncken,sielotis
krancker,ligonis
kranckheit,ligga
kranich,gerwe
krantz,wainikas
krätz,niezai
kratzen,kassiti
krauen,niezeti
krausemünze,meta
krausen,garbinuti
krauß,garbinûtas
kraußkopff,garbinûczus
kraut,zole; zelmû
krautgarten,darzas
krazelbeeren,gerwûges
krazig,niezûtas
krebs,wezys
krebsjcheeren,znyples
krebsschwantz,peleks
krebsstein,girnos
kreischen,klykti
kreße,ezerukai
kreyde,kreida
kreydnägelein,gwazdikai
kreysel,sukkurys; sukkurielis
kreyßß,apskrittimas; apskrittinys
krichendte,kryklele
kriecheln,krikles
kriechen,listi; linti; landzoti
kriechhündin,letuke
krieg,karas; wayna
kriegen,karauti
krieger,kazigis
kriegesheer,waiskas
kriegesmann,kareiwis
kriegskammer,kar-kamare
kriegsvolck,zalnierey
kriegszeug,zalnieru rikai
krippe,prakartas; edzas
krohn,karuna
krohnchen,mezginei
krohnchen,spurga
krönen,karunawoti
kropff,gurklys
kröte,rukpuze
krug,karczama
krug,kruzikkas; azdinnis; izbons
kruger,karczemninkas
krum,kumpas; kreiwas
krum machen,palenkti
krume,minkßtimas
krumfuß,raißis; klißis
krümme,kreiwybe; wingis
krummen,susiriesti; rangitisi
krummeßer,skaptas
krumstroh,kraikas; traknai
küche,kukne
kuchen,piragas
kuchen becker,piragininks
kugel,kulka
kuhbluhme,karwzoles
kuhe,karwe
kuhe ohne hörner,luine
kuhekalb,telicze
kuhhirt,kerdzus
kühle,weisus
kuhlen,atsiwesinti; ataußiti; prasiwedyti
kuhlung,atwesis
kuhn,drasey
kuhn,drasus
kuhnheit,drasumas
kuhstall,twartes
kummel,knywai
kummer,wargas
kummerlich,wargingai
kummerniß,apmaudas
kund,zinnomas
kundschafft,tirdinejimas
kundschafften,tirdineti
kundthun,apreikßti
kunfftig,buses; ateises
kunstlich,dailus; dailesnis; dailausias
kupffer,waras
kupffern,warinnis
kupfferschmied,katillus
kürbis,diddeji agurkai
kürschner,kailus; kußnierus
kurtz,trumpas; strukkas
kurtzlich,trumpai
kurtzweil,szutka; glaudas
kurtzweilen,butiti
kurtzweilich,glaudingas
kuß,buczawimas
kußen,buczuûti
kusttag,prisiprowisimo diena
kutsche,kareta; waznyczia
kuzel,kutulys
kuzelich,kutulingas
kuzeln,kutineti; katurti; katulûti
laack,rassalas
laben,atgaiwinti; atsigaiwinti
labsall,atgaiwinimas
lacheln,ßipsotisi
lachen,jûkas
lachen,jûktisi; ßypsoti
lachend machen,prajûkinti
lächerlich,jûkingas
lachs,laßaßa
lack,peczetis
lackey,tekunas
lade,kryne
laden,krauti
laden,wadinti; kwiesti
lager,abazas; gûlis
lagern,gultisi; gulditisi; rymoti
lahcken,paklode; prostyre; ploßte
lahm,erytis; awinelis
lahm,lûßas
lämmerwoll,nûbarka
lampe,lampa
land,zeme
landgericht,lieggnycze; lygus
landman,laukininkas; dirwininks
landmeßer,matininkas
landschafft,zeme
landsknecht,zalnierus
landsman,zemkas
landstraße,wießkelis
lang,ilgas; ilgesnis; ilgiausias
lange,stûmû; ilgis; ilgumas
langlich,pailgas; ilgokas
langst,ilgay; sennay
langwagen,treinija
langweis,ißilgay
langwierig,ilgas
lapplein,asa
larwe,licina
laß,rambus
laßen,palikti; leisti
laßeysen,kirstuwas
laßkopff,taure
last,naßta
lastbahr,darbui priprates
laster,piktas budas
lasterer,bluznierus
lastern,bluzniti
lasternis,bluznijimas
lasterwort,bluznijimo zodzei
lateinisch,lotinißkas
latern,lucznycze; zibnycze
latte,lota
lattern,latûti
lauberhütte,lapinne
lauberhüttenfest,lapinnu szwente
lauch,lakßtai
lauff,begimas
lauffen,begti; tekketi
lauffer,begunas
lauffleim,leicus
lauge,szarmas
laugnen,gintisi; melûti
laulicht,drungnas; szilrökas
laup,lapas
lauren,lukurti
lauren,tykoti
lauschen,gludoti
lausen,utineti
lausicht,utelingas
lauß,utele
laußangel,utelus
laut,drasay; didzu balsu
lauten,zwanyti; skambeti
lauter,ißkus
lautern,ezystiti; plowyti
lauterung,czystijimas; plowijimas
lawendel,lawendelei
lay,prastas zmogus
laze,pragierkas
lebe woll,gywenk sweiks
leben,gywenti; zywitisi
leben,zywatas; gywata; gywenimas; gywastis
lebendig,gywas
lebendig werden,atgyti
lebenzziel,likkimas; kakas
leber,kepanos
leberwurst,kepenine
lebhafft,gywas
lechzen,liemûti
lecken,laiziti; tekketi; lakti
leckerbißlein,zmaggurei
leckerer,millus; mailus
leckerhafftigkeit,smailyste; smagguryste
leckern,smillauti; smailoti
leder,skura; oda; szikna
ledern,szikßinis
ledig,tußczas
leer,tußczas
leffzen,lupa
legat,paslas
legen,deti; guldyti; gultisi
lehm,molis
lehmicht,molinas
lehnen,ziczyti; ankßczoti
lehre,mokslas; pamokslas; pamokinimas
lehren,mokyti
lehrer,mokitojis
lehrhafftig,mokslus
lehrling,mokintinis
lehrmeister,mokitojis
lehrspruch,mokslas
lehrstück,pamokslas
leib,kunas
leibchen,wyste; kiktikkas; katenka
leibeigener,wergas
leibhafftig,wlasnas
leiblicher,kunißkas
leiblsich,kunißkay
leichbegängniß,szermenys
leiche,lawonas
leiche,panarbas; nerßtas
leichen,nerßeti
leicht,piggus
leichtfertig,wiebanas
leichtlich,piggiey; menkinay
leidlich,pakenczamas
leif,pamazu
leihen,zicziti
leim,klijei
leimbaum,klewas
leimen,klijûti
leimkauff,makariczios
leinöle,semeno-olejus
leinsaat,semenys
leinwand,drobe; audeklas; marßkonas
leinweber,audejus
leipzig,lipskas
leißen,paßluzyti; tarnauti
leiste,kurpalis
leiten,westi
leiter,kopeczos; leiteres; lipynes
leiterbaum,likkes; kopeczos
lencken,kreipti; greßti
lenden,szonas; rietas; strenos
lendenstein,slepsna
lendenwehe,digulys
lentz,pawasaris
lerche,wiewersys; wyturrys
lernen,mokitisi
leschbrand,nûdegulis
leschen,gessyti
lesen,skaititi; rinkti
leser,skaititojis
letzer,paskutinnis; paskuczausias
letzlich,paskiausey; paskuczausey
letzviertel,delczus
leuchte,zibnyczia
leuchten,zibbinti; zibbeti
leuchter,liktarna
leute,zmones
lewit,lewitas
leyden,kentejimas; kancza
leyden,kenteti; kesti
leyren,dainûti
leyrlied,daina
licht,szwiesus; szwiesesnis; szwiesausias
licht,zwake; szwiesa; liktis
licht werden,praßwisti
lichtmeße,grabniczios
lieb,mielas; mielimas
liebe,meile
lieben,myleti
lieber,mielesnis
lieberwollen,besiweliti
liebestrunck,meiles gerimas
liebhaber,mielas
lieblich,mielingay
liebreich,mielingas
liebster,melausas
liebstock,lubystos
lied,giezme
liefern,padûti
liefland,latwija
lieflander,latwys
liegen,gulleti
lielie convalli,oßkobardzei
lielien,lelija
lieutenambt,leitnomts
lincke hand,kaire
lincks,kairey
lind,lengwas
linde,liepa
lindenholtz,liepinne
lindern,palengwinti
linderung,lengwybe; palengwinimas
lindigkeit,lengwybe; palengwinimas
linie,brukfnys
linsen,leßei
lippen,lupa
lispeln,szweplûti; szwepseti
lispler,szweplys
list,kytryste; kytrummas; kytrastis; kytrawone; buklyste
litanie,litanga
littauen,lietuwa
littauer,lietuwininks
littauisch,lietuwißkas
lob,laupse
loben,laupsinti
lobgesang,laupses giesme
loblich,pagirtinay
loch,skyle; ylanda
loch im zaun,spraga
lochericht,skyletas
locken,wobiti
lockvogel,wobikas
loderasch,plenys
lodern,gruzdeti
löffel,szaukßtas
loffelbreit,sauksdetis
löffeler,smillus
löffeln,smailauti
loffelvoll,szaukßtomets
logiament,swetlyczia
lohe,dûbay
lohf einer büchse,wamzdis
lohn,alga
lohnen,uzmoketi
lorbeerbaum,bapkumedis
lorbeeren,bapka
lorbeerkrantz,lauras
lösegeld,waddawimas
lösen,waddûti
loser,burtininkas
loß,burta
loß,lûsas; palaidas
loßen,burti
loßgeben,ißdûti
loßkauffen,atpirkti
loßlaßen,paleisti
loßlößen,atristi; isnarrinti
loßmachen,ißlûsûti
loßreißen,atpleßti
loßsprechen,ißwalnyti
loßwage,wogas
löwe,liutas
lucerne,lucznycze
luchs,lußis
lucht,aukßtas
luder,sterwinycia
luderliegen,tingeti
lufft,oras
lüfften,gwilduti rießutis; ankßtis; pupas; ließas
lufftig,wesus
lügel,legere
lügen,melas
lügen,melûti
lugner,mellagis
lulch,dirsa
lumpen,skara
lunge,plauczei
lungenkraut,kerpes
lunten,knatai
lust,geidulas; paluba
lust haben,ussigeisti; megti
lust leisten,geidula sawa ißpilditi
lüstern,geidulauti
lustig,linksmas
maal,apgamas
maal,cielus
maal auff die welt bringen,apsigimti
maan,aggûnas; betus
maaß,mieras; saikas; cziene
machen,darryti
macht,macis; syla
machtig,macney; sylingay
mächtig,macnas; sylingas
mackel,patepimas
maden,kirmeles
magdt,merga; slugine; tarnaite
magen,skilwys
mager,kudas
mager werden,palisti; pakusti
mahl,kartas; sykis
mahlen,malti
mahlen,molawoti
mahler,molorus
mahlich,palengway
mahlstube,maltuwe
mahlwerck,molawone
mahlzeichen,zenklas
mahlzeit,walgimas
mahlzeit halten,walgiti
mahne,karczei
mahrlein,pasaka
maise,zyle
majestät,majestotas
major,bajoras
majoran,meirönai
maltz,saliklas
mammon,mammonas
mancher,tulimas; tulas; daznas
mancherley,tuleropas
mandeln,pazandes
mangel,koczelas
mangel,stokûjimas
mangelhafftig,pristokes
mangelholtz,koczielas
mangeln,koczeti
mangeln,pristokti; stokûti
mann,wyras
manna,menna
mannbar,talekas; nûteka
mannigfaltig,tuleropay
männlich,wyrißkas
mannsbild,wyrißkis
mannsbruder,diewerys
mannsbruderweib,zente
mannschwester,mößa
mannslänge,stumû
mannsmutter,annyta
mannsvater,szeßuras
mantel,skraiste; mantelis
march,smagenos
marchwurst,smagenine
marck,griwina
marckstück,griwininks
marckt,turgus; rinka; turgaunicze
marcktag,turgas
marder,kiaune
mardermuze,kiaunine
marter,muka
märterer,muczelninkas
märtern,mucziti
masern,tymmai
masernholtz,dranarus
masidarm,grobas
maßig,miernay
maßigkeit,mernyste
mastbaum,stiebas
mästen,penneti
mastvieh,pekus
mauen,knaukti
mauer,muras
maul,burna
maulauff,zoplys
maulbeerbaum,medinne krauße
maulbeeren,medinnes kraußes
maulen,burniti
maulschell,perausis
maulwurff,kurmis
maurer,murininkas
maurschwill,urwinne
mauß,pelle
maußen,pellauti
maußfall,pellekauti
meel,miltai
meelthau,emmerai
meer,marios; jures
meerrettig,krienai
meerschnecke,kraukle
meet,middus
mehr,daugias
mehren,dauksinti
mehrentheyls,daugiausey
meiden,aplenkti; wengti
meile,mile
mein,manas
meinen,dumoti; tartisi; dingoti
meinent halben,manes delei
meinige,manieji
meinung,duma
meisch,missa
meist,labjausey
meister,mistras
meistern,mokinti
melde,balanda
melodey,balsas
memelfluß,nemons
memmel,klaipeda
menge,daugybe
mengen,maißyti
mennig,pipirninkas
mensch,zmogus; zmû
mensch werden,insikuniti
menscheit,zmogyste
menschlich,zmogißkas
menschwerdung,insikunijimas
mercken,suprasti; pajusti; numanyti
mercklich,regimas
merckzeichen,pazimis
mertz,karwelinnis
messe,mißa
messen,mieruti; saiketi; mattûti
messer,peilis
messer ohne spiz,stungis
messerrucken,brauna
messerschmied,peilininks
messerstab,kraunos
messias,meßioßus
messing,szwitwaris
metell,klaida
mey,berzelis
meyen,kirsti
meyer,kirtejas
meyerhoff,dwaras
miete,samdas
mieten,samdyti
mieten in den haaren,kándys
mieter,samdininkas
mietgeld,pradolkas
milch,pienas
milch dicke,ruges; rukßta piena
milchen,milßti
milcheymer,milßtuwe
milchicht,pienûtas
milchmaul,pienburnis
milchram,grietine
milchtopff,pienpûdis
mild,dosnus; dosningas
mildigkeit,dosnybe
mildiglich,dosningay; dosley
miltz,blußnis
minderung,palengwinimas
mischen,maißyti
misgaunner,pawidûklis
mispel,tirßiys
mißethat,nusiddejimas
mißethäter,piktadeja
mißfallen,nepamekti
mißgeburth,ißgamas
mißgerathen,nenusidûti; neuztikti
mißglaube,netikkejimas
mißgunst,pawidejimas; pawyda
mißgunstig,pawydus
mißhandeln,nusideti
mißhandlung,nusidejimas
mißlingen,nenusidûti
mißtrauen,newieryti
mißwachs,neuztikkimas
mißwachsen,neuztikti
mist,meßlas
mistel,amalas
misten,kresti; meßti
mistgabel,mezla zake; mezama
misthaacken,kukkis; kublys
mistleiter,szudleiteres
mistlerche,kûdys
mit,su
mit urlaub,su atleidnumu
miteinander,padurmay
miterbe,satewainis
mitfasten,pussaugawenes
mitfleiß,ticzomis
mitgenießen,bendrauti; sebrauti
mitgenoße,bendras; ebras
mitknecht,bursininkas
mitleiden,gailestis
mitleiden haben,gailetisi
mitler,tarpininkas
mitmeßen,miernay
mitnehmen,drauge imti
mitnichten,nieku budu
mittag,pietus
mittags,pietumis
mittagsmahlzeit,pietus
mittel,tarpas
mittelfinger,widutinnis
mittelknecht,pusbernis
mittelmeßig,miernas
mittelmeßigkeit,miernumas
mittelste,widutinnis
mittelstraß,widdukelis
mitten,widurys
mittenentzwey,pertrukelis
mitternacht,pussaunaktis
mittheilen,nudallyti
mittler zeit,tu tarpu
mittwoch,serreda
mitzechen,drauge gerti
mitziehen,drauge traukti
mohn,agûna
mohr,morinnis
molckicht,ißrugotas
monarch,wienwaldza
monarchie,wienwaldyste
monat,menesis
mönch,minykas
mond,menû
mondschein,menesena
montag,paniedelis
morcheln,briedelei
mord,razbajus
morden,razbajauti
morder,razbainikas; galw-zuddys
morderischer,galw-zuddißkas
möre,morka
morgen,rytas
morgen,rytoi
morgenbroth,pusrytis
morgengabe,kraitis; pasoga
morgenlands,murgas
morgenroth,pazaras
morgens,rytais; rytmeczeis
morgenstern,außros zwaizde
morrast,balla
morser,meseris
morserkiel,kylis
moscau,maskawa
moß,samanos
moßbeeren,spangûges
motang,samdininkas
motte,kandys
mücke,ûdas
muckelich,priblekes
muckelig werden,priblekti
müde,pailses
müde machen,pailsinti
müde werden,pailsti
muff,rankalka; mowa; uzzmowa
mügder,pápetes
mügigkeit,pailzumas
mühe,proce
mühe machen,proce daryti
mühen,procewoti; gailetisi
mühle,malnićia; mallunas
mühlstein,girnos
muhm,tetta
mühsam,rupingas; rupestingas
mühseelig,wargdienis; silwartingas
mülbem,kandys
mülde,gelda
müller,mallunininkas
mulst machen,sutreßkinti
mümmel,nemuns
mund,nasrai
mundlich,su burna
munter,muddrus
mürmeln,murmeti
murmen,selawa
mürren,rußgieti
musquet,putßka
musquetierer,putßkininks
müß,muize
müssen,passigesti
müssen,reikti
mussig,pateikes
müssig gehen,pateikauti; pateikti; dykauti
müssig seyn,roksoti; wamßoti; zauksoti
mussiggang,pateikas; padykawimas
müssiggänger,pateikunas; patdykunas
mustern,bausti
muth,umas; drassybe
muthig,mudrus; binges; bicznas
muthigkeit,muddryste
müthlein kûhlen,pasitießiti
muthmaßen,numanyti
muthmaßung,nûmone
muthwillen,sawredyste
muthwillig,sawredyßkas
muthwillig,ticzomis
mutter,motina; augiwe
mutterbruder,awynas
mutterkraut,motes zoles
mutterpferd,kumele; aßwa
mutterschwester,tetta
mutterschwestermann,tettenas
müze,mucze
müze der hennen,kûdis; kûdelis
müzedes fuchs,lapinne; seßkinne; kiaunyne; sabaline
myrche,mirra
nabe,stebule
nabel,bamba
nach,po; pagal; paskui
nach hause bringen,pargabbenti
nacharten,pasekti
nachbar,kaimynas; susiedas
nachbarlich,kaimynißkay; susiedißkay
nachbarrin,kaiminka; susiedka
nachbarschafft,susiedyste
nachbleiben,passilikti
nachdem,potam; potû
nacheinander,nûlatai
nachfolge,pasekimas
nachfolgen,pasekti
nachfolger,pasekejas; sekejas
nachforschen,tirdineti
nachfrage,klausinejimas
nachfragen,klausineti
nachgeben,passidûti
nachgehen,sekkioti
nachgespottet ich habe,pamegdinejau
nachhochzeit,paswodbis
nachhoren,klausti
nachjagen,wyti
nachkommen,patomkas
nachkommen,pawyti
nachlaßen,lautisi; palikti
nachlaßig,tingys
nachlaßigkeit,tingejimas
nachrede,pakalba
nachreden,pakalbeti
nachsezen,wyti
nachspotten,pamegdzoti
nacht,naktis
nachteule,naktikowa; iwas
nachtigal,lakßtingala
nachtlager,naktwyne
nachtmahl,weczere
nachtrabe,naktikowa
nachts,naktimis
nachtzeit,naktym
nacke,pakáußis
nackt,nûgas
nadel,adata
nädeler,adatininks
nadelöhr,bullis
nagel,winnis; wirbalas; wágis
nagelbreit,per naga
nägelmahl,winnu wieta
nagen,krimsti; graußti
nahe,arti; czaus; czausias
nähe,artumas
nahen,artintisi; kakintisi
näherin,suweje
nahme,wardas
nähren,derreti; zywitisi
nahrung,penukßlas
naht,sule
narbe,randas
narr,glubas; durnus; bloznas
narrenpaßen,niekai; bezliepitios
narrheit,durnyste
narrisch,paikas
naschen,smailauti; zmagrauti; smillauti
nascher,zmillus; smaggurus
naschhafftig,mailus
nase,nösis
nasenlöcher,sznurkßles
nasenring,ziedas
naß,ßlapjas
naß werden,sußlapti
näße,ßlapamas
natter,driezas
natur,notura; prigimmimas
natürlich,noturischkas
nebel,migla
nebelicht,miglota
neben,uti
nebeneinander,gretta
nechst,anday
nechst gott,su diewu
nechste,artimas
nehen,prie
neherahmen,spielczus
nehmen,imti
nein,ne
nelchen,negelkes
nelchenschlachte,kukalas
nelcken der studenten,dewinßarwas
nemlich,butent
nennen,praminti
neper,nepras
nerrlich,szlownay; szlowingay
neßel,dilgele
neßelkönig,karaliks; karalelis; dagelelis; kikilelis
neßelstaude,dilgelinas
nest,gußta; lizdas nestey padelys; pauts
nestelln,zenkelis
netze,tinklas
netzen,paßlapinti
neu,naujas
neu machen,atnaujinti
neu werden,atsinaujinti; naujena daras
neuacker,lidimmas
neuerung,naujena
neufaß,naujokas; naujininkas
neujahr,naujas metas
neulich,anday
neumond,jaunas
neun,dewinis; dewinetas
neun hundert,dewini ßimtai
neun tausjend,dewini tukstanczei
neunauge,dewinakkis
neundte,dewintas
neunerley,dewineropas
neunjahrig,dewinergis
neunmahl,dewinis kartus
neunzehn,dewinolika
neunzehndte,dewinoliktas; dewintas lekas
neunzehne,dewinolika
neunzig,dewinos deßimt
neunzigste,dewindeßimtas
neyd,neapikanta
neyden,neapikesti
neydisch,neapikenczes
neyge davon,iß palenktos backos
neygen,prilenkti; pagrißti; sukkti
neygung,palenkimmas
nicht,ne
nicht achten,neatboti
nicht allein,netiktai
nicht verhanden,pusta; tyra; gloda; cziusta
nichtengutts,nenaudelis
nichtig,nekingas
nichtigkeit,niekyste
nichts,niekas
nichtsdestoweniger,taczau; tiktai
nichtsnuze,niekam ne wertas
nie,nekad
nieder,zemyn
niederbrechen,nulaußti; nusilußti
niederfall,parpûlimas
niederfallen,parpulti
niederknien,pasiklaupti
niederlaßen,nuleisti
niederlegen,padeti; paguldyti
niederlegen,paguldimas
niederreißen,parpleßti
niederschlag,padraußimas
niederschlagen,padraußti; parmußti
niedersincken,nusileisti
niedersizen,sestisi
niedertreten,parminti
niederziehen,partraukti
niedlich,mulkus
niedrig,zemas; zemjaus; zemjausis; nuze mintûlis
niedrigkeit,pasizeminimas
niemahls,niekad; nekadda
niemand,niekas
nieren,inkstis
nierenstein,melmû
niesen,czaudejimas
niesen,czaudeti
niesenwurtz,czemericzei
niisihauffon,moginge
nimmer mehr,niekadai
nimmerstill,nenûrimma
nirgend,nekur
nirgend anders,nekur kittur
nirgendswo,negi kur
niß,glinda
nisten,lizdus krauti
noch,dar; dabar
noch einmahl so,wiel kittatiek
noch nicht,dar ne
nochmahl,wel
nochvielmehr,jûczuj; ju daugaus
nomendatur,praminnimas wardu
nordwind,ßaure; ziemys
noth,beda; silwartas
nothdürfft,priwole; reikmene; reikalas
nothdürfftig,reikalingas; priwalus
nöthig,reikiamas; reikdamas; prawartus
nöthigen,syliti; raginti
nothleiden,silwartauti
nothleidend,silwartingas
nu,nu; nunay; dabbar
nüchtern,pagiringas
nuchtern werden,prasigirtûti
nur,ben; tiktay
nuß,rießutys
nußbaum,lazda
nußbeißer,nyple
nußkorn,brandulys
nußschale,kewalas
nußschlauben,kiaußai
nutz,nauda
nutzbarkeit,nauda
nutzbarlich,naudingas
nuzen,derreti
nuzlich,naudingay
ob,norint; bau; jeigi; zin; kazi
ob auch,bau
oben,aukßtay
obenan sizen,po wyrausybei sedeti
obenhin,iß wirßaus
oberhand,wirßus
oberhand haben,wirßu apturreti
oberschwelle,adwerije
oberste,wyrausesis
oberstelle,wyrausybe
oberster,wyresnisis
ohrfeige,perausis
ohrfinger,gallynnis
ohrt,daiktas
ohrt was zu verwehn,pakawûne
oliwen,alywa
omeiß,skruzdele
omeißhauffen,sruzdynas
opfer,appiera
opfern,appierawoti
opferung,appierawojimas
ordentlich,patogiey; dawadney
ordination,ydejimas; ystatimas
ordiniren,ydeti; ystatiti
ordnen,sudawaditi
ordnung,dawadas
organist,wargonininkas
orgel,wargonas
ostereyer,wellykaitis; wellykaiczei
osterfladen,karwojus
ostern,wellykos
ostern halten,wellykauti
ostwind,rytwejas
otter,angis; udra
ottergezüchte angiv,gimmine
paar,porai
paaren,porûti
packen,pakkûti; ykrauti
pallast,palloczus
palmbaum,werba
palmsontag,werba niedele
panquetiren,lebauti
panquetirer,lepunas
panquett,czestnis; lebawimas
panzer,pancierus
pappe,tyre
pappelnbaum,jáworas
pappier,popierus
pappiermühle,pappiermalune
paradieß,rojus
paradießvogel,rojpaukßtis
pareßke,wyza
pareßke von leder,nagines
pareßkenbast,karnos
parthey,pulkas
partisan,bartißus
paßgänger,lidininkas
pasternack,pasternokas
paten,kumas
patenpfennig,apgelai
patriarch,patriarka
patron,geradeja
patrontasch,mierkà; mierkos
paudel,pudlas; wokas
paulbekehrungstag,pussiáuzemis; paulinne
paußback,paputzandis
pausten,pusti
pech,pikkis
pechdrat,szerys; drota
pechdratsend,szergalai
pein,muczijimas
peinigen,mucziti; kotawoti
peiniger,kotas
peißker,pyplys; wijunas
peitsche,botakas
peitschen,plakti
peitschen tock,botkotis
peltz,kailinei; szuba; pamußtinne
peltzstück,kutkailis
peltzwerck,kailei
pennal,plunksnycze
perlen,zemingas
person,persona
pesenck,myzeklis
pest,maras
pest endigen,perßwesti
pestilentz,pawietra
petrosilien,petrußkai
pfad,kelas
pfahl,kûlas
pfaltzgraff,waywoda
pfaltzgraffschafft,waiwodyste
pfand,pantas
pfänden,panditi
pfanne,skaurada
pfannkuche,pautinne
pfarrer,klebonas; kunigas
pfau,powas
pfeffer,pipirrai
pfefferkraut,cziobrai
pfefferkuche,pipirninkas
pfeffernüße,pypirgieczei
pfeiffe,wamzdis
pfeiffen,wamzditi; ßwilpiti
pfeiffer,wamzdininkas; skamarakas
pfeiffkanne,rurinnis
pfeil,strela; wyliczia
pfeiler,stulpas
pfennig,pinnigas
pferd,arklys
pferd beschlagen,pakausti
pferddecke,arklu dekis
pferdhaar,eßuttys
pferdschrape,kastuwas
pferdstall,kanukßlei
pferdstrich über den rücken,pelles takas
pfingsten,zekmines
pflantzgarten,sodas
pflanze,roada
pflanzen,sodinti; cziepiti
pflaster,liekarßwa; brukkas; grynda
pflastern,brukkûti; grysti
pflaume,slywa
pflaumfeder,pukai
pflege,kawojimas
pflegen,kawoti; kûpti; szelpti
pflegen,paderreti; lubyti
pfleger,kawotojas; apekunas
pflegesohn,ißsunis
pflegetochter,ißduktere
pflicht,kalte; kaltybe
pflicken,skinti; peßti
pflug,arklas; zagre
pflüge,ore
pflügen,arti
pflüger,artojas
pflugeysen,noragas
pflugstartze,akstinycia
pfort,warias
pförtner,wartininkas
pfrieme,yla
pfropffen,czepiti
pfropfreyß,czepas
pfuhl,balla; pelke
pfühlen,smeigti kûlus
pfund,swaras
pfütze,klanas; purwinas
pfuy,czui; tfui
pharisäer,pariseußas
pharisäisch,pariseußiskas
pillau,pillawa
pillgrim,kelleiwis
piltzke,gribas
pinsel,mokûlas
pipen,czypti
pips,pipsas
pistoll,pullokas
pitschafft,peczetis
pjalm,pfalmas
plage,sloga
plagen,kankinti
plarren,blauti; rekti
platschen,ploti
platte,plikke
platz,klecus; plotas
platzregen,burys
plauderer,zauna; pliußkius
plaudern,zauniti; pleßketi; pliußkiûti
plötzlich,umay
ploz,mekßras
plünderer,rubbikas
plunderhosen,pludres
plündern,rubbiti; drojauti
plunderung,rubba
pocken,rauples
pockennarbig,raupletas
pohle,lenkas
pohlen,lenku zeme
polieren,szweisti
polley,polejei
polnisch,lenkißkay
polter,bildejimas
poltergeist,bildunas
poltern,bildeti; belsti
pomerantz,pomeranczias
pommern,pammare
poppe,lele
posaune,truba
poßen,szutka
poßenreißer,jûkadarys; szutkadarys; ßuttus
poßnerlich,szutkingas
post,pustas
pracht,raskaßis
prächtig,raskaßney; szauney
prächtig,raskaßnus
prager,dyba
pralen,didzûri; girtisi
praler,gyrpeinys
prangen,muddrauti
