headword,translations
anschreyen,szukterti
ansehen,pawysdeti; yzwelgti
ansehnlich,szlowingai
ansezen,nulemti
ansich bringen,pasisawinti
ansichtig werden,ißwysti; yzwelkti
anspannen,pakinkyti
anspeyen,y akis spiauti; paspiaudyti
ansprechen,pázadyti; yzosti
anspruch,byla
anständig,pridarrus; prideringas; pristainas
anstatt,wietoje
anstechen,pradurti
anstecken,uzdegti; prilipti
ansteckende seuche,prilimpanti ligga
anstehen,priderreti
anstehen laßen,paluketi; pakenteti
anstellen,pastellûti
anstifften,pradeti
anstiffter,pradetojis
anstincker,pasmirda
anstoß,negalejims; ussigawims
anstoßen,ytrenkti
anstreichen,numolawoti; apibraukti
anstricken,primeksti
anstuzen,atsiloßti
antasten,pakruttyti; parußiti
antheil,dallykas
anthun,padaryti
antlitz,weidas; gimis
antocken,paßyti
antreffen,rasti; uzgauti; uzeiti; uspeti
antreiben,priwersti
antreten,prieiti
antwort,atsakimas
antworten,atsakyti; atsiliepti
anwachsen,priaugti
anwehen,papusti
anweisen,prirodyti
anweisen,prirodyti
anweysung,parodas
anwunschen,weliti
anzahl,skaitlus
anzapffen,praleisti
anzeigen,parodyti
anzeiger,rodykle
anzeigung,parodimas
anziehen,apsiwilkti; apsiauti
anzugel,atlapa
anzündern,uzdegti; uzziebti
anzündung,uzziebimas
apffel,oboylys
apffelbaum,obelis
apffelgrau,szirmas
apffeltranck,krußinnis
apostel,apaßtalas
apotheck,aptika
apothecker,aptikere
appetit,noras
april,geguzinnis
arbeit,darbas
arbeiten,dirbti
arbeiter,darbinninkas
arbeitsahm,darbus
arbeitzeit,darbimete
archibusiren,sußaudyti
arend,renda
arg,piktas
argelist,buklyste
argelistig,buklus
arger,pikczaus; piktyn
ärger werden,piktin eiti
argerlicht,piktay
ärgern,papiktinti; passipiktinti
ärgerniß,papiktinimas; pasipiktinnimas
arm,pawarges; pawargulis
arm,petis
armbrust,kilpinnis
arme,slaunis
armee,abazas; waiskas
armen,milûti
armenhauß,szpitole
armseelig,biedzus; wargdienis; rudullis
armster,didzausei pawarges
armuth,wargas; pawargimmas
armuth leyden,wargti
art,weisle
artickel,sanaris
artlich,dywnas
artz,liekorus
artznerey,liekarßwa
arzelistigkeit,buklumas
as,szakka
asche,pellenai
aschputer,pellenus
astig,szakkotas
athem,kwapas
athem holen,atsikwepti; atsidwesti
auch,ir; bey
audientz,klausimas
aue,ay; ayman
aue,lanka
auerhahn,kurtinys
auerochs,stumbras
auff,ant
auff beyden seiten,abißallei
auff das,idant
auff die halfft,sebrinnay; bendray
auff sich nehmen,apsiimti
auffahren,uzwazûti
auffbauen,pakurti; pabudawoti
auffbersten,perblißti
auffbieten,uzsakyti
auffbinden,uzrißti
auffblasen,pasipusti
auffblätteren,papusti
auffbohren,pragreßti
auffbrechen,pasikelti
auffbringen,pramanyti
auffbruch,pasikelimas
auffbücken,atsitiesti
auffbügen,atlenkti
auffdecken,atdengti
auffdringen,isyllinti; su syla wersti
auffeinmahl,wenu kartu
auffenthalt,issilaikimmas
auffenthalten,issilaikyti
aufferlegen,uzdeti
aufferstehen,prisikelti
aufferstehung,prisikelimas; kielimasis
aufferwecken,pabbuddinti
aufferziehen,uzauginti
auffeßen,suwalgyti
auffgab,uzdawimas
auffgang,uztekkejimas
auffgeben,uzduti
auffgeblassen,pußnas
auffgeborsten,perplißes
auffgehaufft,kupinas
auffgehen,uztekketi; ißdyti
auffgelauffen,papustas
auffgeld,uzzylkas
auffgericht,attiestas
auffgießen,uzlieti; uzpilti
auffgurten,atsijûsti
auffhalten,stabdyti
auffhalten,uzlaikyti; ussilaikyti
auffhauen,prakirsti
auffhauffen,kaupûti
auffheben,pakelti
auffhefften,atsegti
auffhelffen,pagelbeti
auffhencken,pakarti; pakabinti
auffhören,palauti; lautisi
auffhörung,palowimas; palauzimas
auffkauffen,papirkti; papirktojis
auffklahren,nußwesti
auffknüpffen,atrißti
auffkommen,pagilbti
auffkratzen,iszzerti
auffladen,uzkrauti
aufflage,sloga
aufflauff,susibegimas
aufflauffen,susibegti
aufflauren,tykoti
aufflechten,ißpinti
aufflegen,uzdeti
auffleiten,uzwesti
aufflesen,nurinkti
auffliegen,uzlekti
aufflösen,atrißti
aufflösung,atrißimas
auffmachen,atdaryti
auffmercken,dabboti; paklausyti
auffmercker,paklausitojis
auffmerckung,dabbojimas
auffmuntern,pabuddinti
auffmunterung,pabuddinimas
auffnähen,prisuti
auffnehmen,primti
auffnehmung,prûmmimas
auffreiben,sutrinti
auffreißen,atpleßti
auffreßen,suesti
auffrichten,attiesti; atsitiesti
auffrichtig,ißtisas
auffrücken,paturoti; paturojimas
auffruffen,ußßaukti
auffruhr,maißtas
auffruhren,pajudditi
auffruhrer,maißtinninkas
auffsagen,atsisakyti; apsakyti
auffsatz,suraßimas
auffschieben,ußmesti
auffschlag am rock,atratai; upszlegai; gallai attû
auffschließen,atrakinti
auffschmieren,ußtepti
auffschneiden,prapjauti
auffschnüren,atnarinti
auffschreiben,paraßyti; suraßyti
auffschwellen,papusti; sutinti
auffsehen,priweizdeti; pridabboti
auffseher,priweizdetojas
auffsezen,ussodinti; ussesti
auffsichen,atfikelti
auffsicht,prieweizda
auffsicht haben,priweizdeti
auffsiechen,pradurti
auffsieden,atwirti; atwirinti
auffsizen,ussesti
auffspalten,perplißti
auffspannen,yiempti
auffsperren,issizoti; atwerti
auffspinden,atspuntûti
auffsprechen,uzlankyti
auffspringen,paszokti
auffstecken,uzmauti
auffsteigen,uzkopti; uzlipti; ußzengti
auffthauen,atdrekti
auffthun,atwerti; addaryti; atwoßti
aufftragen,atneßti
aufftreiben,atwarryti
aufftrennen,ißardyti
aufftreten,uzeiti; uzminti
aufführen,uzwesti
auffwachen,pabusti; nubusti
auffwachsen,uzaugti
auffwarten,tarnauti
auffwarter,tarnas; sluga
auffwaschen,pamasgoti
auffwaschtuch,masgote
auffwaschwaßer,pamasgos
auffwaßer,ampalas
auffwecken,pabbundinti
auffwerffen,ißrausti
auffwiegeln,sujudditi
auffwiegelung,sujuddinimas
auffwiegler,sujudditojis
auffwieglerisch,sujuddas
auffwinden,uzriesti
auffwühlen,ißknysti; ißknaisyti
auffzäumen,pazaboti
auffzeichnen,suraßiti
auffziehen,uztraukti; uztrukinti
auffzug,uztrukimas
augapffel,akkies wyzdzus
auge,akkis
augen plincken,mirkterreti
augenblick,akkies mirksnis
augenbrauen,blakstenai
augeneuter,traßkanos; traßkanoti
augenlieder,akkiu wokai
augenscheinlich,reggimai
augstmonath,rugpjutis
augstzeit,pjuties cjesas; pjuwe
auisen,naujyna
aus den fingern saugen,iß pirßto zysti; sulpti
ausbacken,ißkepti
ausbauen,ißbudawoti
ausbetten,ißpraßyti
ausbieten,ispuliti
ausbitten,ißmelsti
ausblasen,ißpusti
ausbleiben,neatteiti
ausbohren,ißgreßti
ausbrechen,ißpulti
ausbreiten,ißplatinti
ausbrennen,ißdeginti
ausbringen,ißneßoti
ausbrühen,ißplikiti blakes; ißszuttyti
ausbrüten,ißperreti
ausbundig,gretßnai; szumnai
ausbürgen,ißlaidoti
ausbüßen,pakutawoti
ausdauren,ißtriwoti
ausdehnen,ißpelûti
ausdencken,ißmisliti; ißdumoti
ausdienen,ißszluzyti
ausdingen,issiderreti; ißderreti
ausdreschen,ißkulti
ausdrücken,ißspausti
ausdrücklich,ißkiey
ausdurren,ißdzuti; issekti
ausersehen,ißsizureti
ausessen,ißwalgyti
ausfall,ißpûlimas
ausfallen,ispulti
ausfegen,ißlûti
ausfliegen,ißlegti
ausfließen,ißtekketi
ausflucht,ißlekimas; issikalbejimas
ausfoden,ißwadinti
ausforschen,ißklausyneti
